id,name,artists,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,year
0wii5FC4T6chlsG8Vws0DD,"Arson of the Heart (feat. Tom Rozum, Nina Gerber & The T Sisters)","['Laurie Lewis', 'Tom Rozum', 'Nina Gerber', 'T Sisters']",FALSE,0.618,0.661,4,-5.228,1,0.0295,0.72,2.70E-06,0.715,0.505,105.564,218773,4,2014
5fZb7jkJAfaP4tp3qDcoKm,The Crooked Miles (feat. Tom Rozum & Nina Gerber),"['Laurie Lewis', 'Tom Rozum', 'Nina Gerber']",FALSE,0.61,0.563,0,-5.334,1,0.0309,0.772,0,0.732,0.605,116.634,256507,4,2014
2YpghUkh8JZJTpJNLEtrSx,One Sweet Hello (feat. Tom Rozum & Nina Gerber),"['Laurie Lewis', 'Tom Rozum', 'Nina Gerber']",FALSE,0.6,0.314,7,-10.804,0,0.0339,0.914,0,0.699,0.383,110.895,282733,4,2014
7n2QztjZPxtRk11iUCHUSp,With Me Wherever I Go (feat. Tom Rozum & Nina Gerber),"['Laurie Lewis', 'Tom Rozum', 'Nina Gerber']",FALSE,0.564,0.671,0,-7.03,0,0.0434,0.909,0.000637,0.859,0.68,116.65,209453,4,2014
7t5Sj3qqT1nUON0ffHxvaP,I'm Your Man,['Leonard Cohen'],FALSE,0.485,0.317,11,-14.403,0,0.0395,0.176,2.19E-06,0.0773,0.481,94.297,266133,4,2002
3Dwmggfw8VvvlnjYgvJQgb,Main Title,['Angelo Badalamenti'],FALSE,0.382,0.128,2,-20.236,0,0.0554,0.832,0.938,0.0782,0.04,81.952,280093,4,2002
7aboA3XDf0kXkfjToM8VO6,Feelin' Free,['Angelo Badalamenti'],FALSE,0.36,0.218,2,-18.675,0,0.0419,0.837,0.85,0.106,0.113,154.986,195267,3,2002
5zWrkqfRv0NNUJhHwjMZGm,Snow Dome Dreams,['Angelo Badalamenti'],FALSE,0.375,0.0791,0,-23.61,1,0.0452,0.91,0.769,0.135,0.159,115.037,271440,3,2002
1RCShzrOfJoW9wmkPXSSEO,Bathing Blossom,['Angelo Badalamenti'],FALSE,0.781,0.252,4,-19.116,0,0.0934,0.555,0.907,0.0903,0.89,81.006,119293,4,2002
5hILXpXUP2p5r2mPPE1dM7,Seeing Scars,['Angelo Badalamenti'],FALSE,0.329,0.0403,2,-26.166,0,0.0559,0.862,0.797,0.0731,0.0354,61.018,209733,4,2002
1Tv318QMFiOtu8U0fYssSF,Loving to Obey,['Angelo Badalamenti'],FALSE,0.318,0.0949,2,-22.021,0,0.0366,0.926,0.82,0.0849,0.0398,157.118,253333,4,2002
3UGlYzqMCxrORiNGVy8kiF,Office Obligations,"['Angelo Badalamenti', 'Phil Marshall']",FALSE,0.446,0.0293,2,-29.068,0,0.0406,0.908,0.898,0.0969,0.213,119.348,197640,5,2002
7zt0zy9WAmMfEj6erYF4CR,The Loving Tree,"['Angelo Badalamenti', 'Phil Marshall']",FALSE,0.628,0.256,9,-17.782,1,0.0378,0.329,0.706,0.102,0.327,144.03,125733,4,2002
0fW5emwPurb1ofhcF6EtXH,Orchids,['Angelo Badalamenti'],FALSE,0.329,0.0325,10,-22.766,1,0.0345,0.978,0.895,0.103,0.0366,63.698,160627,4,2002
44LUyiYFdhb5f9lCmPvi8T,Secretary's Secrets,['Angelo Badalamenti'],FALSE,0.311,0.0542,2,-28.644,1,0.0505,0.814,0.923,0.0732,0.0398,140.587,163640,4,2002
6Lb2lcA6LInaspeOGdLRHR,Chariots Rise,['Lizzie West'],FALSE,0.839,0.368,8,-13.87,1,0.032,0.275,0.000485,0.101,0.639,120.018,196533,4,2002
0TK8rnc28dk3yQT5uGGzok,Hot Box,"['$hoey', 'YGTUT']",TRUE,0.669,0.611,1,-7.447,1,0.373,0.0123,0,0.112,0.525,112.819,165904,4,2017
